kid_score,mom_hs,mom_iq,mom_work,mom_age
104,Completed,136.577,4,21
83,Completed,102.426,2,24
99,Completed,132.689,4,24
81,Completed,96.297,3,25
104,Completed,118.21,4,23
109,Completed,118.091,4,22
113,Completed,101.505,2,26
95,Did not complete,94.335,2,21
74,Completed,84.671,1,20
81,Completed,86.769,2,21
89,Completed,129.246,4,26
93,Completed,127.781,4,28
102,Completed,106.861,2,23
95,Completed,105.754,1,25
85,Completed,117.032,4,21
97,Completed,119.352,2,22
92,Completed,102.766,1,26
78,Did not complete,108.205,3,21
104,Completed,126.415,4,29
120,Completed,101.901,2,21
83,Did not complete,99.156,2,17
105,Completed,91.813,1,21
68,Completed,84.141,4,24
104,Completed,84.355,4,19
80,Completed,79.12,2,23
120,Completed,91.417,4,26
94,Completed,90.446,2,24
81,Completed,79.001,4,22
101,Completed,109.264,4,22
61,Completed,76.752,4,25
68,Completed,97.595,4,19
110,Completed,128.809,4,22
89,Did not complete,113.657,1,17
98,Did not complete,114.207,2,18
113,Completed,112.513,4,24
50,Did not complete,75.337,1,23
57,Did not complete,81.523,2,22
86,Completed,102.639,4,19
83,Completed,101.187,1,23
106,Completed,112.223,4,26
106,Did not complete,123.408,3,25
104,Completed,86.567,3,22
78,Completed,100.117,2,19
99,Completed,102.329,3,22
91,Completed,87.947,1,23
40,Did not complete,80.258,1,20
42,Did not complete,80.258,1,20
69,Completed,91.077,4,24
84,Completed,85.579,4,25
58,Completed,113.166,4,23
42,Completed,112.059,2,25
72,Completed,101.27,3,21
80,Did not complete,81.833,1,19
58,Did not complete,81.095,3,21
52,Completed,81.329,4,26
101,Completed,120.609,3,20
63,Completed,102.448,4,23
73,Completed,90.976,2,20
68,Completed,103.709,4,23
60,Completed,102.329,4,22
69,Completed,121.87,4,20
73,Did not complete,88.66,1,21
75,Did not complete,90.029,1,19
20,Did not complete,83.533,2,23
56,Completed,91.921,2,19
49,Completed,87.193,1,20
71,Did not complete,80.464,4,21
46,Did not complete,84.318,1,25
54,Did not complete,77.74,3,22
54,Did not complete,82.272,1,23
44,Completed,77.383,4,25
74,Completed,89.715,3,20
58,Did not complete,79.905,2,25
46,Completed,82.153,4,22
76,Did not complete,80.262,2,22
43,Did not complete,77.383,4,25
60,Did not complete,82.784,4,22
58,Completed,89.207,4,23
89,Completed,89.088,4,22
43,Did not complete,88.987,2,18
94,Completed,118.924,1,21
88,Completed,83.851,4,26
79,Completed,84.045,4,22
87,Completed,105.053,4,21
46,Completed,107.999,4,20
95,Completed,97.382,4,24
92,Completed,103.792,4,21
42,Did not complete,97.595,4,19
62,Completed,88.66,2,21
52,Completed,107.247,2,27
101,Completed,89.838,2,23
97,Completed,108.907,4,25
85,Completed,100.64,3,21
98,Completed,118.84,1,23
94,Completed,95.512,2,23
90,Completed,84.772,2,24
72,Completed,100.747,1,19
92,Completed,87.003,1,26
75,Did not complete,77.859,4,23
83,Completed,85.302,4,20
64,Completed,92.77,1,18
101,Completed,74.861,4,25
82,Completed,115.249,4,19
77,Completed,107.373,4,22
101,Completed,102.203,4,27
50,Completed,97.912,4,20
90,Completed,96.857,4,21
103,Completed,111.466,2,19
96,Completed,109.466,3,21
50,Completed,82.25,4,24
47,Completed,92.77,4,18
73,Completed,115.569,2,22
62,Did not complete,84.045,4,22
77,Completed,116.199,4,22
64,Completed,99.295,4,23
52,Completed,87.193,2,20
61,Completed,76.712,4,28
86,Completed,80.699,2,26
41,Did not complete,82.463,1,19
83,Completed,85.18,4,27
64,Completed,93.074,4,21
83,Completed,88.577,4,23
116,Completed,103.056,4,24
100,Did not complete,86.877,3,19
42,Did not complete,97.915,4,22
74,Completed,120.923,4,19
76,Completed,91.729,4,23
92,Completed,87.507,4,19
98,Completed,90.446,4,24
96,Completed,84.164,3,23
67,Completed,96.654,4,22
84,Completed,95.704,2,19
111,Completed,88.768,4,19
41,Did not complete,92.14,1,18
68,Completed,108.003,3,22
107,Completed,80.389,3,29
82,Did not complete,99.803,4,20
89,Completed,90.029,4,19
83,Completed,93.939,4,26
73,Completed,103.709,4,23
74,Completed,77.109,4,22
94,Completed,117.557,2,24
58,Completed,79.834,2,21
76,Completed,83.616,2,21
61,Completed,88.731,4,25
38,Completed,82.784,4,22
100,Completed,86.877,4,19
84,Completed,88.731,4,25
99,Completed,92.241,4,22
86,Completed,90.552,1,21
94,Completed,84.141,4,24
90,Completed,93.074,2,21
50,Did not complete,85.835,2,18
112,Completed,98.856,4,19
58,Completed,95.512,2,23
87,Completed,101.068,2,22
76,Completed,85.932,1,20
68,Completed,82.784,2,22
110,Completed,98.665,2,23
88,Did not complete,82.149,3,20
87,Did not complete,85.616,1,19
54,Did not complete,79.438,1,26
49,Did not complete,75.337,1,23
56,Completed,80.892,2,22
79,Completed,115.771,3,21
82,Completed,97.159,4,27
80,Did not complete,80.892,1,22
60,Completed,79.506,4,27
102,Completed,98.012,4,24
87,Completed,108.866,4,28
42,Did not complete,80.699,4,26
119,Completed,100.747,4,19
84,Completed,91.099,4,23
86,Completed,82.986,1,21
113,Completed,89.715,4,20
72,Completed,131.011,4,19
104,Completed,124.515,4,23
94,Completed,91.61,4,22
78,Did not complete,92.99,1,23
80,Did not complete,91.884,1,25
67,Did not complete,88.691,1,28
104,Completed,126.094,3,26
96,Did not complete,84.985,3,19
65,Did not complete,82.986,1,21
64,Completed,101.795,3,24
95,Completed,100.244,2,26
56,Completed,110.013,4,23
75,Did not complete,88.577,2,23
91,Completed,106.742,3,22
106,Completed,95.292,2,18
76,Completed,108.313,1,19
90,Completed,110.331,3,26
108,Completed,116.83,4,22
86,Did not complete,86.686,1,23
85,Completed,96.857,2,21
104,Did not complete,90.248,1,18
87,Completed,89.291,4,21
41,Did not complete,74.23,1,25
106,Did not complete,91.884,4,25
76,Did not complete,96.461,3,26
100,Did not complete,97.404,4,23
89,Completed,131.533,4,21
42,Completed,78.245,2,27
102,Completed,127.676,4,29
104,Completed,124.515,4,23
59,Did not complete,80.464,4,21
93,Did not complete,74.861,2,25
94,Did not complete,84.877,4,21
76,Completed,92.99,4,23
50,Did not complete,94.86,2,24
88,Completed,96.857,2,21
70,Completed,91.253,2,25
