Condition,stimuli,p,RT
A,S3,7,475.8456644109566
B,S3,7,532.6161855458128
C,S3,7,1091.1072070556297
A,S4,7,806.1481882806229
B,S4,7,732.6071778979605
C,S4,7,364.1207972201764
A,S1,8,457.38269229732146
B,S1,8,256.25689696363935
C,S1,8,289.2015235081131
A,S2,8,666.1922164766477
B,S2,8,138.21043717734244
C,S2,8,180.5415954939213
A,S3,8,787.2118017848754
B,S3,8,239.9753837998236
C,S3,8,346.8128374721647
A,S4,8,567.3525956574869
B,S4,8,325.94900079452236
C,S4,8,116.79066002794019
A,S1,9,549.6425009734603
B,S1,9,237.1247502091021
C,S1,9,113.55227745086728
A,S2,9,801.8069882882011
B,S2,9,505.4748304922739
C,S2,9,196.26651036771284
A,S3,9,394.19736893458423
B,S3,9,358.17090811776086
C,S3,9,1188.442316648538
A,S4,9,824.8580869346697
B,S4,9,377.9504149832943
C,S4,9,592.1796861233221
A,S1,10,57.55755049141254
B,S1,10,225.88418772986245
C,S1,10,282.6601804350511
A,S2,10,807.1427209504797
B,S2,10,533.1877000663804
C,S2,10,546.7997453293497
A,S3,10,908.0517892014709
B,S3,10,346.92468301427505
C,S3,10,363.1176079016657
A,S4,10,443.85261414527304
B,S4,10,582.156483154326
C,S4,10,237.35097775449287
A,S1,11,110.1629998007831
B,S1,11,-43.73186336200925
C,S1,11,58.8032029314104
A,S2,11,1051.0566607645403
B,S2,11,492.57384022739006
C,S2,11,190.77211962937514
A,S3,11,1325.3785110239087
B,S3,11,440.9014866290904
C,S3,11,489.2241687790673
A,S4,11,581.9532958328341
B,S4,11,499.3872076073934
C,S4,11,677.810369370772
A,S1,12,722.5305275271277
B,S1,12,350.0022215625912
C,S1,12,145.49934326187525
A,S2,12,1092.4242971325964
B,S2,12,275.3238755863187
C,S2,12,564.1016075822704
A,S3,12,913.3321861508116
B,S3,12,217.70592676641718
C,S3,12,117.98506989251774
A,S4,12,1075.2612218351835
B,S4,12,529.4001582541639
C,S4,12,787.6982580359086
A,S1,13,503.63869320188064
B,S1,13,253.04777837245013
C,S1,13,232.9893224164714
A,S2,13,1118.7187602186912
B,S2,13,120.27991287768737
C,S2,13,295.8589247513962
A,S3,13,421.034889688476
B,S3,13,-16.729738502712536
C,S3,13,477.7818399238555
A,S4,13,636.3414997928359
B,S4,13,602.3062658815276
C,S4,13,1380.8959064567878
A,S1,14,732.901630725467
B,S1,14,28.72655742055457
C,S1,14,-3.9011793250856783
A,S2,14,650.0560359518523
B,S2,14,-2.4416073609928333
C,S2,14,388.4347699417182
A,S3,14,333.56875150054975
B,S3,14,655.9094845946619
C,S3,14,590.2034099235071
A,S4,14,1039.2193502595126
B,S4,14,419.14574150128556
C,S4,14,220.26754928078606
A,S1,15,-89.33074885356753
B,S1,15,439.5658426449902
C,S1,15,882.8381074146944
A,S2,15,828.2076993339017
B,S2,15,169.7277639256576
C,S2,15,929.7971104822434
A,S3,15,928.5621230365846
B,S3,15,805.632876623431
C,S3,15,279.80652197525984
A,S4,15,1776.3302729203017
B,S4,15,610.7131077925103
C,S4,15,146.80597430860058
A,S1,16,742.1529760956079
B,S1,16,-117.62087687238001
C,S1,16,128.06417375525388
A,S2,16,835.2783029167629
B,S2,16,-87.49118268949253
C,S2,16,490.2399171816288
A,S3,16,435.33309899959124
B,S3,16,245.45330216987838
C,S3,16,171.1941750476658
A,S4,16,679.6996319531765
B,S4,16,243.56565979310238
C,S4,16,180.67705391059576
A,S1,17,441.6494837910212
B,S1,17,591.7713733643615
C,S1,17,169.10564804980766
A,S2,17,974.4227442693746
B,S2,17,516.2409063518344
C,S2,17,531.1805810558662
A,S3,17,1138.304660692299
B,S3,17,525.7314562147092
C,S3,17,326.01125382383964
A,S4,17,953.360676108701
B,S4,17,160.02761405502196
C,S4,17,659.9260782384104
A,S1,18,286.0054237735832
B,S1,18,150.00939418739614
C,S1,18,34.650788066030316
A,S2,18,1232.8977866131918
B,S2,18,384.4365809978668
C,S2,18,401.32372450050264
A,S3,18,1249.0074076232315
B,S3,18,634.3559682746788
C,S3,18,571.8127243425656
A,S4,18,-47.56853422020916
B,S4,18,781.5096316527219
C,S4,18,101.96177974835564
A,S1,19,228.64392659943024
B,S1,19,303.30816424489143
C,S1,19,220.06214871224643
A,S2,19,556.9941580889428
B,S2,19,69.69543276132765
C,S2,19,671.4017992037974
A,S3,19,1125.830093051841
B,S3,19,57.10903710023911
C,S3,19,647.3456672833025
A,S4,19,1020.1042306701465
B,S4,19,457.13231350888634
C,S4,19,587.5562655781373
A,S1,20,627.2023506605158
B,S1,20,180.44967632330344
C,S1,20,156.21421831356514
A,S2,20,548.7955072756588
B,S2,20,985.6504350499106
C,S2,20,173.31797638925042
A,S3,20,604.3784002713505
B,S3,20,131.08869933934142
C,S3,20,538.7351488878891
A,S4,20,980.2257795208209
B,S4,20,893.6863088139662
C,S4,20,354.8005559606514
